NaOH;Inferior;Superior
41.88158209;49.81529412;80.9600692
42.00713433;49.52422145;80.66899654
42.13268657;49.52422145;80.66899654
42.25823881;49.52422145;80.66899654
42.38379104;49.23314879;80.37792388
42.50934328;49.23314879;80.37792388
42.63489552;49.23314879;80.37792388
42.76044776;49.23314879;80.08685121
42.886;48.94207612;80.08685121
43.01155224;48.94207612;80.08685121
43.13710448;48.94207612;79.79577855
43.26265672;48.94207612;79.79577855
43.38820896;48.94207612;79.79577855
43.51376119;48.65100346;79.79577855
43.63931343;48.65100346;79.50470588
43.76486567;48.65100346;79.50470588
43.89041791;48.65100346;79.50470588
44.01597015;48.3599308;79.50470588
44.14152239;48.3599308;79.21363322
44.26707463;48.3599308;79.21363322
44.39262687;48.3599308;79.21363322
44.5181791;48.3599308;78.92256055
44.64373134;48.06885813;78.92256055
44.76928358;48.06885813;78.92256055
44.89483582;48.06885813;78.92256055
45.02038806;48.06885813;78.63148789
45.1459403;48.06885813;78.63148789
45.27149254;48.06885813;78.63148789
45.39704478;47.77778547;78.63148789
45.52259701;47.77778547;78.34041522
45.64814925;47.77778547;78.34041522
45.77370149;47.77778547;78.34041522
45.89925373;47.77778547;78.34041522
46.02480597;47.77778547;78.34041522
46.15035821;47.77778547;78.04934256
46.27591045;47.77778547;78.04934256
46.40146269;47.4867128;78.04934256
46.52701493;47.4867128;78.04934256
46.65256716;47.4867128;77.7582699
46.7781194;47.4867128;77.7582699
46.90367164;47.4867128;77.7582699
47.02922388;47.4867128;77.7582699
47.15477612;47.4867128;77.7582699
47.28032836;47.4867128;77.46719723
47.4058806;47.4867128;77.46719723
47.53143284;47.4867128;77.46719723
47.65698507;47.19564014;77.46719723
47.78253731;47.19564014;77.46719723
47.90808955;47.19564014;77.17612457
48.03364179;47.19564014;77.17612457
48.15919403;47.19564014;77.17612457
48.28474627;47.19564014;77.17612457
48.41029851;47.19564014;77.17612457
48.53585075;47.19564014;76.8850519
48.66140299;47.19564014;76.8850519
48.78695522;47.19564014;76.8850519
48.91250746;47.19564014;76.8850519
49.0380597;47.19564014;76.8850519
49.16361194;47.19564014;76.8850519
49.28916418;47.19564014;76.59397924
49.41471642;47.19564014;76.59397924
49.54026866;47.19564014;76.59397924
49.6658209;47.19564014;76.59397924
50;47.19564014;76
